theta	FPR	TPR
0.1	0.0114566284779	0.0795847750865
0.15	0.00961538461538	0.0752595155709
0.2	0.00777414075286	0.0726643598616
0.25	0.00716039279869	0.0705017301038
0.3	0.00593289689034	0.068339100346
0.35	0.00531914893617	0.0674740484429
0.4	0.004705400982	0.0657439446367
0.45	0.00409165302782	0.0627162629758
0.5	0.00388707037643	0.0618512110727
0.55	0.00347790507365	0.0614186851211
0.6	0.00347790507365	0.0614186851211
0.65	0.00347790507365	0.0609861591696
0.7	0.00347790507365	0.060553633218
0.75	0.00306873977087	0.0592560553633
0.8	0.00286415711948	0.0588235294118
0.85	0.00265957446809	0.0575259515571
0.9	0.0022504091653	0.0570934256055
0.95	0.0022504091653	0.056660899654
