theta	FPR	TPR
0.1	0.0134425540853	0.0754407544075
0.15	0.0121823146398	0.0746207462075
0.2	0.0105019953791	0.0717507175072
0.25	0.00903171602604	0.070110701107
0.3	0.00798151648813	0.0688806888069
0.35	0.00735139676539	0.0680606806068
0.4	0.00630119722747	0.0680606806068
0.45	0.00609115731989	0.0676506765068
0.5	0.00567107750473	0.0651906519065
0.55	0.00525099768956	0.0639606396064
0.6	0.00525099768956	0.0619106191062
0.65	0.00462087796681	0.0619106191062
0.7	0.00462087796681	0.0606806068061
0.75	0.00441083805923	0.0590405904059
0.8	0.00420079815165	0.0582205822058
0.85	0.00378071833648	0.0574005740057
0.9	0.00336063852132	0.0561705617056
0.95	0.00336063852132	0.0557605576056
