theta	FPR	TPR
0.1	0.450331125828	0.726907630522
0.15	0.280898876404	0.774774774775
0.2	0.19587628866	0.815533980583
0.25	0.175	0.825
0.3	0.144230769231	0.84375
0.35	0.115740740741	0.864130434783
0.4	0.103603603604	0.870786516854
0.45	0.0925110132159	0.878612716763
0.5	0.0865800865801	0.881656804734
0.55	0.0756302521008	0.888888888889
0.6	0.065306122449	0.896774193548
0.65	0.0602409638554	0.900662251656
0.7	0.0553359683794	0.904761904762
0.75	0.0505836575875	0.909090909091
0.8	0.0459770114943	0.913669064748
0.85	0.0459770114943	0.913669064748
0.9	0.0375939849624	0.925373134328
0.95	0.0334572490706	0.931297709924
